编号,分类,英文名称,化合物名称,分子式,分子量,CAS号,2D图,smiles,inchi,inchikey,药材名称
SZ-017,黄酮类,vicenin-2,维采宁-2,C27H30O15,594.518,23666-13-9,,O[C@@H]1[C@@H](O)[C@H](C2=C3C(C(C=C(C4=CC=C(O)C=C4)O3)=O)=C(O)C([C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)=C2O)O[C@H](CO)[C@H]1O,"InChI=1S/C27H30O15/c28-6-12-17(32)21(36)23(38)26(41-12)15-19(34)14-10(31)5-11(8-1-3-9(30)4-2-8)40-25(14)16(20(15)35)27-24(39)22(37)18(33)13(7-29)42-27/h1-5,12-13,17-18,21-24,26-30,32-39H,6-7H2/t12-,13-,17-,18-,21+,22+,23-,24-,26+,27+/m1/s1",FIAAVMJLAGNUKW-VQVVXJKKSA-N,山楂
SZ-018,黄酮类,vicenin-3,维采宁-3,C26H28O14,564.492,59914-91-9,,O=C1C=C(C2=CC=C(O)C=C2)OC3=C1C(O)=C([C@H]4[C@@H]([C@H]([C@@H]([C@@H](CO)O4)O)O)O)C(O)=C3[C@H]5[C@@H]([C@H]([C@@H](CO5)O)O)O,"InChI=1S/C26H28O14/c27-6-13-18(32)21(35)23(37)26(40-13)15-19(33)14-10(29)5-12(8-1-3-9(28)4-2-8)39-24(14)16(20(15)34)25-22(36)17(31)11(30)7-38-25/h1-5,11,13,17-18,21-23,25-28,30-37H,6-7H2/t11-,13-,17+,18-,21+,22-,23-,25+,26+/m1/s1",MMDUKUSNQNWVET-MCIQUCDDSA-N,山楂
SZ-019,黄酮类,schaftoside,夏佛塔苷,C26H28O14,564.49,51938-32-0,,OC[C@H]1OC([C@@H]([C@H]([C@@H]1O)O)O)OC2=C(C3=C(C(OC4OC[C@H]([C@H]([C@@H]4O)O)O)=C2O)OC(C5=CC=C(C=C5)O)=CC3=O)O,"InChI=1S/C26H28O16/c27-6-13-16(32)18(34)20(36)26(40-13)41-23-17(33)14-10(29)5-12(8-1-3-9(28)4-2-8)39-22(14)24(21(23)37)42-25-19(35)15(31)11(30)7-38-25/h1-5,11,13,15-16,18-20,25-28,30-37H,6-7H2/t11-,13-,15-,16-,18+,19+,20-,25?,26?/m1/s1",NIABBGMPPWXWOJ-JQSBCWDXSA-N,山楂
SZ-020,黄酮类,isoschaftoside,异夏佛塔苷,C26H28O14,564.492,52012-29-0,,OC1=C([C@H]2[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O2)C(OC(C3=CC=C(O)C=C3)=CC4=O)=C4C(O)=C1[C@H]5[C@H](O)[C@@H](O)[C@@H](O)CO5,"InChI=1S/C26H28O14/c27-6-13-18(32)21(35)23(37)26(40-13)16-20(34)15(25-22(36)17(31)11(30)7-38-25)19(33)14-10(29)5-12(39-24(14)16)8-1-3-9(28)4-2-8/h1-5,11,13,17-18,21-23,25-28,30-37H,6-7H2/t11-,13+,17-,18+,21-,22+,23+,25-,26-/m0/s1",OVMFOVNOXASTPA-VYUBKLCTSA-N,山楂
SZ-021,黄酮类,neoschaftoside,新夏佛塔苷,C26H28O14,564.492,61328-41-4,,O=C1C=C(C2=CC=C(O)C=C2)OC3=C1C(O)=C([C@H]4C(O)[C@@H](O)[C@H](O)C(CO)O4)C(O)=C3[C@@H]5C(O)[C@H](O)[C@@H](O)CO5,"InChI=1S/C26H28O14/c27-6-13-18(32)21(35)23(37)26(40-13)15-19(33)14-10(29)5-12(8-1-3-9(28)4-2-8)39-24(14)16(20(15)34)25-22(36)17(31)11(30)7-38-25/h1-5,11,13,17-18,21-23,25-28,30-37H,6-7H2/t11-,13?,17+,18+,21-,22?,23?,25+,26-/m0/s1",MMDUKUSNQNWVET-CYKGWVDRSA-N,山楂
SZ-022,黄酮类,neoisoschaftoside,新异夏佛塔苷,C15H8O5,268.0372,\,,OC1=C([Pentosyl])C(O)=C(C(=CC(C2=CC=C(O)C=C2)=O3)=O)C3=C1[Heoxoxyl],,,山楂
SZ-023,黄酮类,violanthin,佛莱心苷,C27H30O14,578.519,40581-17-7,,C[C@H]1[C@H](O)[C@@H](O)[C@@H](O)[C@H](C2=C(O)C([C@H]3[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O3)=C(O)C4=C2OC(C5=CC=C(O)C=C5)=CC4=O)O1,"InChI=1S/C27H30O14/c1-8-17(31)21(35)23(37)27(39-8)16-20(34)15(26-24(38)22(36)18(32)13(7-28)41-26)19(33)14-11(30)6-12(40-25(14)16)9-2-4-10(29)5-3-9/h2-6,8,13,17-18,21-24,26-29,31-38H,7H2,1H3/t8-,13+,17-,18+,21+,22-,23+,24+,26-,27-/m0/s1",MVOUGOXRXQDXDC-RSPRXDBDSA-N,山楂
SZ-024,黄酮类,pinnatifide A,山楂苷 A,C22H21O9,429.1186,\,,OC(C=C1)=CC=C1C2=OC3=C(CC45(C)O[C@@](C)([H])C(O)(O)[C@]4([H])O)C(O5)=CC(O)=C3C(=C2)=O,"InChI=1S/C22H21O9/c1-10-21(27,28)20(26)22(2,30-10)9-13-17(31-22)8-15(25)18-14(24)7-16(29-19(13)18)11-3-5-12(23)6-4-11/h3-8,10,20,23,25-28H,9H2,1-2H3/t10-,20+/m1/s1",RSJRRXQVYMAXCH-SBKAZYGRSA-N,山楂
SZ-025,黄酮类,pinnatifide B,山楂苷 B,C21H18O9,414.0591,\,,OC(C=C1)=CC=C1C2=OC3=C(CC45(C)O[C@@]([CH2Acetyl])([H])C(O)(O)[C@]4([H])O)C(O5)=CC(O)=C3C(=C2)=O,,,山楂
SZ-026,黄酮类,pinnatifide C,山楂苷 C,C21H18O9,414.0591,\,,OC(C=C1)=CC=C1C2=OC3=C(CC45(C)O[C@@]([CH2Acetyl])([H])C(O)(O)[C@]4(O)[H])C(O5)=CC(O)=C3C(=C2)=O,,,山楂
SZ-027,黄酮类,pinnatifide (D),山楂苷 D,C24H23O10,471.1291,\,,OC(C=C1)=CC=C1C2=OC3=C(CC45(C([H])[H])C([H])(O)[C@@](O)([H])[C@@]([H])(COC(C)=O)O4)C(O5)=CC(O)=C3C(=C2)=O,"InChI=1S/C24H23O10/c1-11(25)31-10-19-21(29)23(30)24(2,34-19)9-14-18(33-24)8-16(28)20-15(27)7-17(32-22(14)20)12-3-5-13(26)6-4-12/h3-8,19,21,23,26,28-30H,9-10H2,1-2H3/t19?,21-,23?/m1/s1",MZHKHNLFECTAEW-YUVVGHDESA-N,山楂
SZ-028,黄酮类,pinnatifide (I),山楂苷E,C24H23O10,471.1291,\,,OC(C=C1)=CC=C1C2=OC3=C(CC45(C([H])[H])C([H])(O)[C@@](O)([H])[C@@]([H])(COC(C)=O)O4)C(O5)=CC(O)=C3C(=C2)=O,"InChI=1S/C24H23O10/c1-11(25)31-10-19-21(29)23(30)24(2,34-19)9-14-18(33-24)8-16(28)20-15(27)7-17(32-22(14)20)12-3-5-13(26)6-4-12/h3-8,19,21,23,26,28-30H,9-10H2,1-2H3/t19?,21-,23?/m1/s1",MZHKHNLFECTAEW-YUVVGHDESA-N,山楂
SZ-029,黄酮类,orientin,荭草素,C21H20O11,448.377,28608-75-5,,O=C(C1=C(C([C@H]2[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O2)=C(O)C=C1O)O3)C=C3C4=CC(O)=C(O)C=C4,"InChI=1S/C21H20O11/c22-6-14-17(28)18(29)19(30)21(32-14)16-11(26)4-10(25)15-12(27)5-13(31-20(15)16)7-1-2-8(23)9(24)3-7/h1-5,14,17-19,21-26,28-30H,6H2/t14-,17-,18+,19-,21+/m1/s1",PLAPMLGJVGLZOV-VPRICQMDSA-N,山楂
SZ-030,黄酮类,2″-O-rhamnosyl- orientin,2″-O-鼠李糖荭草素,C21H20O11,448.1006,\,,O=C(C1=C(C([C@H]2[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O2)=C(O)C=C1O)O3)C=C3C4=CC(O)=C(O)C=C4,"InChI=1S/C21H20O11/c22-6-14-17(28)18(29)19(30)21(32-14)16-11(26)4-10(25)15-12(27)5-13(31-20(15)16)7-1-2-8(23)9(24)3-7/h1-5,14,17-19,21-26,28-30H,6H2/t14-,17-,18+,19-,21+/m1/s1",PLAPMLGJVGLZOV-VPRICQMDSA-N,山楂
SZ-031,黄酮类,luteolin-7-O-glucoside,木犀草素-7-O-葡萄糖苷,C23H22O13,506.106,\,,O=C(C1=C(C([C@H]2[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O2)=C(OC(CO)=O)C=C1O)O3)C=C3C4=CC(O)=C(O)C=C4,"InChI=1S/C23H22O13/c24-6-15-19(31)20(32)21(33)23(36-15)18-14(34-16(30)7-25)5-12(29)17-11(28)4-13(35-22(17)18)8-1-2-9(26)10(27)3-8/h1-5,15,19-21,23-27,29,31-33H,6-7H2/t15-,19-,20+,21-,23+/m1/s1",LWQFMTQYYZJPMF-ZIXMXCCESA-N,山楂
SZ-032,黄酮类,"luteolin-3′,7-diglucoside","木犀草素-3′, 7-二葡萄糖苷",C25H24O15,564.1115,\,,O=C(C1=C(C([C@H]2[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O2)=C(OC(CO)=O)C=C1O)O3)C=C3C4=CC(O)=C(OC(CO)=O)C=C4,"InChI=1S/C25H24O15/c26-6-16-21(34)22(35)23(36)25(40-16)20-15(38-18(33)8-28)5-12(31)19-11(30)4-14(39-24(19)20)9-1-2-13(10(29)3-9)37-17(32)7-27/h1-5,16,21-23,25-29,31,34-36H,6-8H2/t16-,21-,22+,23-,25+/m1/s1",IVMOHYTYTHKXSO-IOOJMYGHSA-N,山楂
SZ-033,黄酮类,iso-orientin,异荭草素,C21H20O11,448.377,4261-42-1,,OC[C@H]1O[C@@H](C2=C(C3=C(C=C2O)OC(C4=CC(O)=C(C=C4)O)=CC3=O)O)[C@@H]([C@H]([C@@H]1O)O)O,"InChI=1S/C21H20O11/c22-6-14-17(27)19(29)20(30)21(32-14)16-11(26)5-13-15(18(16)28)10(25)4-12(31-13)7-1-2-8(23)9(24)3-7/h1-5,14,17,19-24,26-30H,6H2/t14-,17-,19+,20-,21+/m1/s1",ODBRNZZJSYPIDI-VJXVFPJBSA-N,山楂
SZ-034,黄酮类,2″-O-rhamnosyl-iso-orientin,2″-O-鼠李糖异荭草素,C15H9O6,285.0399,\,,OC1=C([Neohesperidosyl])C(O)=CC(OC(C2=CC(O)=C(C=C2)O)=C3)=C1C3=O,,,山楂
SZ-035,黄酮类,kaempferol,山柰酚,C15H10O6,286.236,520-18-3,,O=C1C(C(O)=CC(O)=C2)=C2OC(C3=CC=C(O)C=C3)=C1O,"InChI=1S/C15H10O6/c16-8-3-1-7(2-4-8)15-14(20)13(19)12-10(18)5-9(17)6-11(12)21-15/h1-6,16-18,20H",IYRMWMYZSQPJKC-UHFFFAOYSA-N,山楂
SZ-036,黄酮类,8- methoxy kaempferol,8-甲氧基山柰酚,C16H12O7,316.0583,\,,O=C1C(C(O)=CC(O)=C2OC)=C2OC(C3=CC=C(O)C=C3)=C1O,"InChI=1S/C16H12O7/c1-22-15-10(19)6-9(18)11-12(20)13(21)14(23-16(11)15)7-2-4-8(17)5-3-7/h2-6,17-19,21H,1H3",AZFYHRHUTXBGJS-UHFFFAOYSA-N,山楂
SZ-037,黄酮类,8-methoxy kaempferol-3-O- glucosyl,8-甲氧基山柰酚-3-O-葡萄糖苷,C18H14O9,374.0638,\,,O=C1C(C(O)=CC(O)=C2OC)=C2OC(C3=CC=C(O)C=C3)=C1OC(CO)=O,"InChI=1S/C18H14O9/c1-25-16-11(22)6-10(21)13-14(24)18(26-12(23)7-19)15(27-17(13)16)8-2-4-9(20)5-3-8/h2-6,19-22H,7H2,1H3",PEHOTLRKOJMBQV-UHFFFAOYSA-N,山楂
SZ-038,黄酮类,8-methoxy kaempferol-3-O-neohesperidoside,8-甲氧基山柰酚 3-O-新橙皮糖苷,C16H11O6,299.0556,\,,O=C1C(C(O)=CC(O)=C2OC)=C2OC(C3=CC=C(O)C=C3)=C1[ONeohesperidosyl],,,山楂
SZ-039,黄酮类,kaempferol-3-O-neohesperidoside,山柰酚-3-O-新橙皮糖苷,C15H9O5,269.045,\,,O=C1C(C(O)=CC(O)=C2)=C2OC(C3=CC=C(O)C=C3)=C1[ONeohesperidosyl],,,山楂
SZ-040,黄酮类,astragalin,山柰酚-3-O-葡萄糖苷,C17H12O8,344.0532,\,,O=C1C(C(O)=CC(O)=C2)=C2OC(C3=CC=C(O)C=C3)=C1OC(CO)=O,"InChI=1S/C17H12O8/c18-7-13(22)25-17-15(23)14-11(21)5-10(20)6-12(14)24-16(17)8-1-3-9(19)4-2-8/h1-6,18-21H,7H2",OAXIXRJTAHKVSH-UHFFFAOYSA-N,山楂
SZ-041,黄酮类,7-O-α-L-rhamnosyl-3-O-β-D-glucopyanosyl kaempferol,7-O-α-L-鼠李糖-3-O-β-D-吡喃葡萄糖山柰酚,C17H11O7,327.0505,\,,O=C1C(C(O)=CC([ORha])=C2)=C2OC(C3=CC=C(O)C=C3)=C1OC(CO)=O,,,山楂
SZ-042,黄酮类,glogoside,五子山楂苷,C18H13O7,341.0661,\,,O=C1C(C(O)=CC([ORha])=C2C(CO)=O)=C2OC(C3=CC=C(O)C=C3)=C1OC,,,山楂
SZ-043,黄酮类,"3,4′,5,8-tetra-hyduoxyl-flavone-7-O-glucosyl","3,4′,5,8-四羟基黄酮-7-葡萄糖苷",C17H12O9,360.0481,\,,O=C1C(C(O)=CC(OC(CO)=O)=C2O)=C2OC(C3=CC=C(O)C=C3)=C1O,"InChI=1S/C17H12O9/c18-6-11(21)25-10-5-9(20)12-14(23)15(24)16(26-17(12)13(10)22)7-1-3-8(19)4-2-7/h1-5,18-20,22,24H,6H2",XNZAYENICQHYRN-UHFFFAOYSA-N,山楂
SZ-044,黄酮类,quercetin,槲皮素,C15H10O7,302.236,117-39-5,,OC1=CC(C(O2)=C(O)C(C3=C2C=C(O)C=C3O)=O)=CC=C1O,"InChI=1S/C15H10O7/c16-7-4-10(19)12-11(5-7)22-15(14(21)13(12)20)6-1-2-8(17)9(18)3-6/h1-5,16-19,21H",REFJWTPEDVJJIY-UHFFFAOYSA-N,山楂
SZ-045,黄酮类,3′-O-arabinosyl- quercetin,槲皮素-3′-O-阿拉伯糖苷,C15H9O6,285.0399,\,,[OArabinosyl]C1=CC(C(O2)=C(O)C(C3=C2C=C(O)C=C3O)=O)=CC=C1O,,,山楂
SZ-046,黄酮类,spiraeside,槲皮素-4′-O-葡萄糖苷,C17H12O9,360.0481,\,,OC1=CC(C(O2)=C(O)C(C3=C2C=C(O)C=C3O)=O)=CC=C1OC(CO)=O,"InChI=1S/C17H12O9/c18-6-13(22)25-11-2-1-7(3-9(11)20)17-16(24)15(23)14-10(21)4-8(19)5-12(14)26-17/h1-5,18-21,24H,6H2",RPJKETPWEAUWHN-UHFFFAOYSA-N,山楂
SZ-047,黄酮类,rutin,芦丁,C27H30O16,610.518,153-18-4,,OC1=CC(O)=CC2=C1C(C(O[C@@H]3[C@@H](O)[C@H](O)[C@@H](O)[C@H](CO[C@@H]4[C@@H](O)[C@@H](O)[C@H](O)[C@@H](C)O4)O3)=C(C5=CC(O)=C(O)C=C5)O2)=O,"InChI=1S/C27H30O16/c1-8-17(32)20(35)22(37)26(40-8)39-7-15-18(33)21(36)23(38)27(42-15)43-25-19(34)16-13(31)5-10(28)6-14(16)41-24(25)9-2-3-11(29)12(30)4-9/h2-6,8,15,17-18,20-23,26-33,35-38H,7H2,1H3/t8-,15+,17-,18+,20+,21-,22+,23+,26+,27-/m1/s1",IKGXIBQEEMLURG-GGFYDIPBSA-N,山楂
SZ-048,黄酮类,3-O-rhamnosyl quercetin,槲皮苷,C21H20O11,448.377,522-12-3,,O=C1C(O[C@@H]2O[C@@H](C)[C@H](O)[C@@H](O)[C@H]2O)=C(C3=CC(O)=C(O)C=C3)OC4=C1C(O)=CC(O)=C4,"InChI=1S/C21H20O11/c1-7-15(26)17(28)18(29)21(30-7)32-20-16(27)14-12(25)5-9(22)6-13(14)31-19(20)8-2-3-10(23)11(24)4-8/h2-7,15,17-18,21-26,28-29H,1H3/t7-,15-,17+,18+,21-/m0/s1",OXGUCUVFOIWWQJ-HQBVPOQASA-N,山楂
SZ-049,黄酮类,hyperoside,金丝桃苷,C21H20O12,464.376,482-36-0,,O=C1C(O[C@H]2[C@@H]([C@H]([C@H]([C@@H](CO)O2)O)O)O)=C(C3=CC=C(O)C(O)=C3)OC4=CC(O)=CC(O)=C14,"InChI=1S/C21H20O12/c22-6-13-15(27)17(29)18(30)21(32-13)33-20-16(28)14-11(26)4-8(23)5-12(14)31-19(20)7-1-2-9(24)10(25)3-7/h1-5,13,15,17-18,21-27,29-30H,6H2/t13-,15+,17+,18-,21+/m1/s1",OVSQVDMCBVZWGM-DTGCRPNFSA-N,山楂
SZ-050,黄酮类,bioquercetin,生物槲皮素,C15H9O6,285.0399,\,,OC1=CC(C(O2)=C([OGalactosyl-Rha])C(C3=C2C=C(O)C=C3O)=O)=CC=C1O,,,山楂
SZ-051,黄酮类,3-O-glucopyanosyl quercetin,3-O-葡萄糖槲皮素,C17H12O9,360.0481,\,,OC1=CC(C(O2)=C(OC(CO)=O)C(C3=C2C=C(O)C=C3O)=O)=CC=C1O,"InChI=1S/C17H12O9/c18-6-13(23)26-17-15(24)14-11(22)4-8(19)5-12(14)25-16(17)7-1-2-9(20)10(21)3-7/h1-5,18-22H,6H2",MDILFCALFXQIIK-UHFFFAOYSA-N,山楂
SZ-052,黄酮类,quercetin 3-O-pentoside,3-O-戊糖槲皮素,C15H9O6,285.0399,\,,OC1=CC(C(O2)=C([OPentosyl])C(C3=C2C=C(O)C=C3O)=O)=CC=C1O,,,山楂
SZ-053,黄酮类,quercetin3-O-(6′′-acetyl-glucoside),3-O-6′′-乙酰基葡萄糖槲皮素,C15H9O6,285.0399,\,,OC1=CC(C(O2)=C([OAcetyl-glucosyl])C(C3=C2C=C(O)C=C3O)=O)=CC=C1O,,,山楂
SZ-054,黄酮类,"naringenin-5,7-O-diglucoside","柚皮素-5, 7-双葡萄糖苷",C19H14O9,386.0638,\,,OC(C=C1)=CC=C1C(O2)=CC(C3=C2C=C(OC(CO)=O)C=C3OC(CO)=O)=O,"InChI=1S/C19H14O9/c20-8-17(24)26-12-5-15-19(16(6-12)28-18(25)9-21)13(23)7-14(27-15)10-1-3-11(22)4-2-10/h1-7,20-22H,8-9H2",QBYGNSDOJRYKDC-UHFFFAOYSA-N,山楂
SZ-055,黄酮类,"eriodictyol-5,3′-diglucoside","北美圣草素-5, 3′-双葡萄糖苷",C19H14O10,402.0587,\,,OC(C(OC(CO)=O)=C1)=CC=C1C(O2)=CC(C3=C2C=C(O)C=C3OC(CO)=O)=O,"InChI=1S/C19H14O10/c20-7-17(25)28-14-3-9(1-2-11(14)23)13-6-12(24)19-15(27-13)4-10(22)5-16(19)29-18(26)8-21/h1-6,20-23H,7-8H2",YPOBSPIOQOOAHR-UHFFFAOYSA-N,山楂
SZ-056,黄酮类,"eriodectyol-7,3′-diglucoside","北美圣草素-7, 3′-双葡萄糖苷",C19H14O10,402.0587,\,,OC(C(OC(CO)=O)=C1)=CC=C1C(O2)=CC(C3=C2C=C(OC(CO)=O)C=C3O)=O,"InChI=1S/C19H14O10/c20-7-17(25)27-10-4-12(23)19-13(24)6-14(28-16(19)5-10)9-1-2-11(22)15(3-9)29-18(26)8-21/h1-6,20-23H,7-8H2",QNLXEVNEVOXXKG-UHFFFAOYSA-N,山楂
SZ-057,黄酮类,(+)-taxifolin,花旗松素,C15H12O7,304.252,24198-97-8,,O=C(C1O)C(C(O)=CC(O)=C2)=C2OC1C3=CC(O)=C(O)C=C3,"InChI=1S/C15H12O7/c16-7-4-10(19)12-11(5-7)22-15(14(21)13(12)20)6-1-2-8(17)9(18)3-6/h1-5,14-19,21H",CXQWRCVTCMQVQX-UHFFFAOYSA-N,山楂
SZ-058,黄酮类,3-O-β-arabinopyranosyl-(+)-taxifolin,\,C15H11O6,287.0556,\,,O=C(C1[OArabinopyranosyl])C(C(O)=CC(O)=C2)=C2OC1C3=CC(O)=C(O)C=C3,,,山楂
SZ-059,黄酮类,3-O-β-xylopyranosyl-(+)-taxifolin,\,C15H11O6,287.0556,\,,O=C(C1[OXylopyranosyl])C(C(O)=CC(O)=C2)=C2OC1C3=CC(O)=C(O)C=C3,,,山楂
SZ-060,黄酮类,cyanidin,矢车菊素,C15H14O6,290.079,\,,OC1CC(C(O)=CC(O)=C2)=C2OC1C3=CC(O)=C(O)C=C3,"InChI=1S/C15H14O6/c16-8-4-11(18)9-6-13(20)15(21-14(9)5-8)7-1-2-10(17)12(19)3-7/h1-5,13,15-20H,6H2",PFTAWBLQPZVEMU-UHFFFAOYSA-N,山楂
SZ-061,黄酮类,(+)-catechin,儿茶素,C15H14O6,290.268,18829-70-4,,O[C@H]1[C@H](C2=CC(O)=C(O)C=C2)OC3=C(C(O)=CC(O)=C3)C1,"InChI=1S/C15H14O6/c16-8-4-11(18)9-6-13(20)15(21-14(9)5-8)7-1-2-10(17)12(19)3-7/h1-5,13,15-20H,6H2/t13-,15+/m1/s1",PFTAWBLQPZVEMU-HIFRSBDPSA-N,山楂
