编号,化合物名称,英文名称,CAS号,分子量,分子式,2D图,化合物分类,smiles,inchi,inchikey
JH-021,二羟丙茶碱E,"3-{2-[(4ar,8as)-5,5,8a-trimethyl-2-methylidene-hexahydro-1h-naphthalen-1-yl]ethenyl}furan",117591-81-8,284.4365,C20H28O,,挥发油类,CC1=C[C@H]2C@@HC(=O)O[C@H]2C@HC@HC=C(C)C,"InChI=1S/C15H20O4/c1-8(2)11-7-10-12(5-6-13(10)16)15(18)19-14(11)9(3)17/h5-7,11-12,14,16-17H,8H2,1-4H3/t11-,12-,14-,15-/m0/s1",FUHFFNGBBVFHCH-LHZWQEONSA-N
JH-022,,"(2s,4r)-1,7,7-trimethylbicyclo[2.2.1]heptan-2-ol",,154.2497,C10H18O,,挥发油类,,,
JH-023,新原莪述烯醇,"(1s,3ar,8as)-1-hydroxy-1,4-dimethyl-7-(propan-2-ylidene)-3,3a,8,8a-tetrahydro-2h-azulen-6-one",102130-91-6,234.3345,C15H22O2,,挥发油类,CC(=O)C=CC1=C(O)C=C(C)C=C1,"InChI=1S/C12H14O2/c1-9-5-6-10(8-12(9)14)7-11(2)13-4-3/h5-8,14H,3-4H2,1-2H3/b10-7+",YPBKZPIKJHRJJL-FPYGCLRRSA-N
JH-024,莪术呋喃烯,Curzerene,17910-09-7,216.3193,C15H20O,,挥发油类,O=C1C=C(C)C2=C(C1)C=C(C)C=C2,"InChI=1S/C11H10O/c1-7-5-9(12)6-8(2)10-4-3-11(7)10/h3-6H,1-2H3",QAUZXYOJMZEHDI-UHFFFAOYSA-N
JH-025,,2-methyl-6-(4-methylphenyl)hept-2-en-4-ol,,218.3351,C15H22O,,挥发油类,CC1=CC=C(C(C)CC(O)/C=C(C)/C)C=C1,"InChI=1S/C15H22O/c1-11(2)9-15(16)10-13(4)14-7-5-12(3)6-8-14/h5-9,13,15-16H,10H2,1-4H3",NRBFEAZFHRHFFQ-UHFFFAOYSA-N
JH-026,,Α-myrcene,,136.2344,C10H16,,挥发油类,C/C(C)=C/CCC(C=C)=C,"InChI=1S/C10H16/c1-5-10(4)8-6-7-9(2)3/h5,7H,1,4,6,8H2,2-3H3",UAHWPYUMFXYFJY-UHFFFAOYSA-N
JH-027,"吉马酮-4,5-环氧化物","(1s,6e,10s)-6,10-dimethyl-3-(propan-2-ylidene)-11-oxabicyclo[8.1.0]undec-6-en-4-one",92691-35-5,234.3345,C15H22O2,,挥发油类,CC1=CCCC2(C(O2)CC(=C(C)C)C(=O)C1)C,"InChI=1S/C15H22O2/c1-10(2)12-9-14-15(4,17-14)7-5-6-11(3)8-13(12)16/h5,6,8,9,12,14H,7H2,1-4H3/t12-,14-,15+/m1/s1",DWGVRYKQVZGSIB-ZRDDCUNGSA-N
JH-028,莪术呋喃二烯酮,Furanodienone,24268-41-5,230.3028,C15H18O2,,挥发油类,O=C1C=C(C)C2=C(CC=C(C)CC1)OC=C2C,"InChI=1S/C15H18O2/c1-10-5-4-6-11(2)8-14-15(13(16)7-10)12(3)9-17-14/h6-7,9H,4-5,8H2,1-3H3/b10-7+,11-6+",XVOHELPNOXGRBQ-NXAIOARDSA-N
JH-029,,2-methyl-6-(4-methylidenecyclohex-2-en-1-yl)hept-2-en-4-one,82508-14-3,218.3351,C15H22O,,挥发油类,O=C(/C=C(\C)/C)CC(C)C1C=CC(=C)CC1,"InChI=1S/C15H22O/c1-11(2)9-15(16)10-13(4)14-7-5-12(3)6-8-14/h5,7,9,13-14H,3,6,8,10H2,1-2,4H3",JIJQKFPGBBEJNF-UHFFFAOYSA-N
JH-030,,"(6e,10s)-6,10-dimethyl-3-(propan-2-ylidene)cyclodec-6-ene-1,4-dione",,234.3345,C15H22O2,,挥发油类,,,
JH-031,,Furanodienone,,230.3028,C15H18O2,,挥发油类,,,
JH-032,,"(1r,3as,4s,8ar)-1,4-dihydroxy-1,4-dimethyl-7-(propan-2-ylidene)-hexahydroazulen-6-one",,252.3498,C15H24O3,,挥发油类,,,
JH-033,,"6,10-dimethyl-3-(propan-2-ylidene)cyclodec-6-ene-1,4-dione",,234.3345,C15H22O2,,挥发油类,,,
JH-034,"吉马酮-4,5-环氧化物","6,10-dimethyl-3-(propan-2-ylidene)-11-oxabicyclo[8.1.0]undec-6-en-4-one",92691-35-5,234.3345,C15H22O2,,挥发油类,CC1=CCCC2(C(O2)CC(=C(C)C)C(=O)C1)C,"InChI=1S/C15H22O2/c1-10-5-4-8-15(9-11(10)16)7-6-13(2,3)12-14(15)17-8/h5,8,11-12H,4,6-7,9H2,1-3H3/t8-,11+,12+,15+/m1/s1",DWGVRYKQVZGSIB-NCKTXVJMSA-N
JH-035,双去甲氧基姜黄素,Bisdemethoxycurcumin,33171-05-0,308.3287,C19H16O4,,其他,O=C(CC(=O)/C=C/C1=CC=C(O)C=C1)/C=C/C2=CC=C(O)C=C2,"InChI=1S/C19H16O4/c20-16-7-1-14(2-8-16)5-11-18(22)13-19(23)12-6-15-3-9-17(21)10-4-15/h1-12,20-21H,13H2/b11-5+,12-6+",PREBVFJICNPEKM-YDWXAUTNSA-N
JH-036,,"1,4-dihydroxy-1,4-dimethyl-7-(propan-2-ylidene)-hexahydroazulen-6-one",,252.3498,C15H24O3,,挥发油类,,,
JH-037,莪术双环烯酮,Curcumenone,100347-96-4,234.3345,C15H22O2,,挥发油类,CC(=C1CC2C(C2(CC1=O)C)CCC(=O)C)C,"1S/C15H22O2/c1-9(2)11-7-13-12(6-5-10(3)16)15(13,4)8-14(11)17/h12-13H,5-8H2,1-4H3/t12-,13-,15+/m1/s1",HUZJLWLCLJEXEL-NFAWXSAZSA-N
JH-038,,"(1r,3as,8ar)-1-hydroxy-1,4-dimethyl-7-(propan-2-ylidene)-3,3a,8,8a-tetrahydro-2h-azulen-6-one",,234.3345,C15H22O2,,挥发油类,,,
JH-039,,"(1s,3as,8as)-1-hydroxy-1,4-dimethyl-7-(propan-2-ylidene)-3,3a,8,8a-tetrahydro-2h-azulen-6-one",,234.3345,C15H22O2,,挥发油类,,,
JH-040,,"(1s,3ar,8as)-1-hydroxy-1-methyl-4-methylidene-7-(propan-2-ylidene)-hexahydroazulen-6-one",,234.3345,C15H22O2,,挥发油类,,,
JH-041,莪术双环烯酮,1-methyl-7-(3-oxobutyl)-4-(propan-2-ylidene)bicyclo[4.1.0]heptan-3-one,100347-96-4,234.3345,C15H22O2,,挥发油类,CC(=C1CC2C(C2(CC1=O)C)CCC(=O)C)C,"InChI=1S/C15H22O2/c1-9(2)11-7-13-12(6-5-10(3)16)15(13,4)8-14(11)17/h12-13H,5-8H2,1-4H3/t12-,13-,15+/m1/s1",HUZJLWLCLJEXEL-NFAWXSAZSA-N
JH-042,4-异丙基甲苯,Cymene,99-87-6,134.2185,C10H14,,挥发油类,CC(C)C1=CC=C(C)C=C1,"InChI=1S/C10H14/c1-8(2)10-6-4-9(3)5-7-10/h4-8H,1-2H3",HFPZCAJZSCWRBC-UHFFFAOYSA-N
JH-043,花姜酮,Zerumbone,471-05-6,218.3351,C15H22O,,挥发油类,CC1=CCC(C)(C)CC=C(C)CCC=C1C(=O),"InChI=1S/C15H22O/c1-12-6-5-7-13(2)14(16)9-11-15(3,4)10-8-12/h7-9,11H,5-6,10H2,1-4H3/b11-9+,12-8+,13-7+",GIHNTRQPEMKFKO-SKTNYSRSSA-N
JH-044,柠檬烯,Limonene,138-86-3,136.2344,C10H16,,挥发油类,CC(=C)C1CCC(C)=CC1,"InChI=1S/C10H16/c1-8(2)10-6-4-9(3)5-7-10/h4,10H,1,5-7H2,2-3H3",XMGQYMWWDOXHJM-UHFFFAOYSA-N
JH-045,姜黄油,Tumeric,8024-37-1,368.3807,C21H20O6,,其他,COC1=CC(/C=C/C(CC(/C=C/C2=CC=C(O)C=C2)=O)=O)=CC=C1O,"InChI=1S/C21H20O6/c1-26-20-11-14(5-9-18(20)24)3-7-16(22)13-17(23)8-4-15-6-10-19(25)21(12-15)27-2/h3-12,24-25H,13H2,1-2H3/b7-3+,8-4+",VFLDPWHFBUODDF-FCXRPNKRSA-N
JH-046,花姜酮,"2,6,9,9-tetramethylcycloundeca-2,6,10-trien-1-one",471-05-6,218.3351,C15H22O,,萜类,C/C1=CCC(C)(C)\C=C\C(=O)\C(C)=C\CC1,"InChI=1S/C15H22O/c1-12-6-5-7-13(2)14(16)9-11-15(3,4)10-8-12/h7-9,11H,5-6,10H2,1-4H3/b11-9+,12-8+,13-7+",GIHNTRQPEMKFKO-SKTNYSRSSA-N
JH-047,,"1,7-bis(4-hydroxyphenyl)hepta-1,4,6-trien-3-one",149732-52-5,292.3292,C19H16O3,,其他,,,
JH-048,,"(1e,4e,6e)-1,7-bis(4-hydroxyphenyl)hepta-1,4,6-trien-3-one",149732-52-5,292.3292,C19H16O3,,其他,,,
JH-049,莪术双环烯酮,Curcumenone,100347-96-4,234.3345,C15H22O2,,萜类,CC(=C1CC2C(C2(CC1=O)C)CCC(=O)C)C,"InChI=1S/C15H22O2/c1-9(2)11-7-13-12(6-5-10(3)16)15(13,4)8-14(11)17/h12-13H,5-8H2,1-4H3/t12-,13-,15+/m1/s1",HUZJLWLCLJEXEL-NFAWXSAZSA-N
JH-050,桧烯,Sabinene,3387-41-5,136.2344,C10H16,,萜类,CC(C)C1=CC2CCC1(C)C2,"InChI=1S/C10H16/c1-7(2)10-5-4-8(3)9(10)6-10/h7,9H,3-6H2,1-2H3",NDVASEGYNIMXJL-UHFFFAOYSA-N
JH-051,豆甾醇,Phytosterol,83-48-7,412.6919,C29H48O,,甾体,CCC@HC(C)C,"InChI=1S/C29H48O/c1-7-21(19(2)3)9-8-20(4)25-12-13-26-24-11-10-22-18-23(30)14-16-28(22,5)27(24)15-17-29(25,26)6/h8,19,21-23,30H,7,9-18H2,1-6H3/b9-8+",HCXVJBMSMIARIN-PHZDYDNGSA-N
JH-052,,1-hydroxy-1-methyl-4-methylidene-7-(propan-2-ylidene)-hexahydroazulen-6-one,,234.3345,C15H22O2,,萜类,,,
JH-053,豆甾醇,Stigmasterol,83-48-7,412.6919,C29H48O,,甾体,CCC@HC(C)C,"InChI=1S/C29H48O/c1-7-21(19(2)3)9-8-20(4)25-12-13-26-24-11-10-22-18-23(30)14-16-28(22,5)27(24)15-17-29(25,26)6/h8,19-21,23-27,30H,7,9-18H2,1-6H3/b9-8+/t19-,20-,21+,23+,24+,25-,26+,27+,28+,29-/m1/s1",HCXVJBMSMIARIN-PHZDYDNGSA-N
JH-054,A-姜黄烯,α-Curcumene,644-30-4,202.3357,C15H22,,萜类,CC(CCC=C(C)C)C1=CC=C(C)C=C1,"InChI=1S/C15H22/c1-12(2)6-5-7-14(4)15-10-8-13(3)9-11-15/h6,8-11,14H,5,7H2,1-4H3",VMYXUZSZMNBRCN-UHFFFAOYSA-N
JH-055,甜没药姜黄醇,Bisacurone,120681-81-4,252.3498,C15H24O3,,萜类,,,
JH-056,,Desmethoxycurcumin,297160-27-1,338.3547,C20H18O5,,其他,COC1=CC(/C=C/C(=O)C/C=C/C2=CC=C(O)C=C2)=CC=C1O,"InChI=1S/C20H18O5/c1-25-20-12-12(5-6-16(20)22)4-11-17(21)10-14-7-13(19(14)20)2-3-15(21)24-9-14/h2-8,10,19,22H,9H2,1H3/b11-4+,12-6+",HJTVQHVGMGKONQ-LUZURFALSA-N
JH-057,,Ar-(+/-)-turmerone,38142-58-4,216.3193,C15H20O,,萜类,O=C(/C=C(\C)/C)CC(C)C1=CC=C(C)C=C1,"InChI=1S/C15H20O/c1-11(2)9-15(16)10-13(4)14-7-5-12(3)6-8-14/h5-9,13H,10H2,1-4H3",NAAJVHHFAXWBOK-UHFFFAOYSA-N
JH-058,"(R)-5-(1,5-二甲基-4-己烯基)-邻甲酚",2-methyl-5-[(2r)-6-methylhept-5-en-2-yl]phenol,30199-26-9,218.3351,C15H22O,,其他,CC1=C(C=C(C=C1)C(C)CCC=C(C)C)O,"InChI=1S/C15H22O/c1-11(2)6-5-7-12(3)14-9-8-13(4)15(16)10-14/h6,8-10,12,16H,5,7H2,1-4H3/t12-/m1/s1",FKWGCEDRLNNZOZ-GFCCVEGCSA-N
JH-059,,Zederone,7727-79-9,246.3022,C15H18O3,,萜类,CC(C)(C)O,"InChI=1S/C4H10O/c1-4(2,3)5/h5H,1-3H3",IZWDYJUIKHECGZ-UHFFFAOYSA-N
JH-060,2-十九烷酮,2-nonadecanone,629-66-3,282.5051,C19H38O,,挥发油类,CCCCCCCCCCCCCCCCCC(C)=O,"InChI=1S/C19H38O/c1-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19(2)3/h3-18H2,1-2H3",IEDKVDCIEARIIU-UHFFFAOYSA-N
JH-061,,"(6e)-2,6-dimethyl-10-methylidenedodeca-2,6-diene",,206.3675,C15H26,,挥发油类,,,
JH-062,对羟基肉桂酸,Para-coumaric acid,7400-08-0,164.1584,C9H8O3,,酚酸类,C(O)(=O)C=CC1=CC=C(O)C=C1,"InChI=1S/C9H8O3/c10-8-4-1-7(2-5-8)3-6-9(11)12/h1-6,10H,(H,11,12)",NGSWKAQJJWESNS-UHFFFAOYSA-N
JH-063,香兰素,Vanillin,121-33-5,152.1476,C8H8O3,,其他,COC1=CC(C=O)=CC=C1O,"InChI=1S/C8H8O3/c1-11-8-4-6(5-9)2-3-7(8)10/h2-5,10H,1H3",MWOOGOJBHIARFG-UHFFFAOYSA-N
JH-064,大牛儿烯 D,(-)-germacrene d,37839-63-7,204.3516,C15H24,,萜类,C/C/1=C/CCC(=C)/C=C\C(CC1)C(C)C,"InChI=1S/C15H24/c1-12(2)15-10-8-13(3)6-5-7-14(4)9-11-15/h7-8,10,12,15H,3,5-6,9,11H2,1-2,4H3/b10-8-,14-7-",GAIBLDCXCZKKJE-BZXLUOIMSA-N
JH-065,香芹酮,Carvone,99-49-0,150.2179,C10H14O,,萜类,CC1=CCC(CC1=O)C(=C)C,"InChI=1S/C10H14O/c1-7(2)9-5-4-8(3)10(11)6-9/h4,9H,1,5-6H2,2-3H3",ULDHMXUKGWMISQ-UHFFFAOYSA-N
JH-066,甜没药姜黄醇,Bisacurone,120681-81-4,252.3498,C15H24O3,,萜类,CC(CC(=O)C=C(C)C)C1CC(C(C=C1)(C)O)O,"InChI=1S/C15H24O3/c1-10(2)7-13(16)8-11(3)12-5-6-15(4,18)14(17)9-12/h5-7,11-12,14,17-18H,8-9H2,1-4H3/t11-,12+,14-,15-/m0/s1",QJOWFYQIUZMPRY-NEBZKDRISA-N
JH-067,棕榈酸,Palmitic acid,57—10—3,256.4247,C16H32O2,,脂肪酸,CCCCCCCCCCCCCCCC(=O)O,"InChI=1S/C16H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16(17)18/h2-15H2,1H3,(H,17,18)",IPCSVZSSVZVIGE-UHFFFAOYSA-N
JH-068,,(r)-β-bisabolene,,204.3516,C15H24,,萜类,,,
JH-069,,"7-hydroxy-1,7-bis(4-hydroxy-3-methoxyphenyl)hept-1-ene-3,5-dione",,386.396,C21H22O7,,其他,,,
JH-070,Β- 倍半水芹烯,Β-sesquiphellandrene,20307-83-9,204.3516,C15H24,,萜类,CC@@H[C@H]1CCC(=C)C=C1,"InChI=1S/C15H24/c1-12(2)6-5-7-14(4)15-10-8-13(3)9-11-15/h6,8,10,14-15H,3,5,7,9,11H2,1-2,4H3/t14-,15+/m0/s1",PHWISBHSBNDZDX-LSDHHAIUSA-N
JH-071,萜品油烯,Terpinolene,586-62-9,136.2344,C10H16,,萜类,CC1=CCC(CC=C(C)C)=CC1,"InChI=1S/C10H16/c1-8(2)10-6-4-9(3)5-7-10/h6,10H,4-5,7H2,1-3H3",MOYAFQVGZZPNRA-UHFFFAOYSA-N
JH-072,,"(1e,4z,6e)-5-hydroxy-1,7-bis(4-hydroxyphenyl)hepta-1,4,6-trien-3-one",,308.3287,C19H16O4,,萜类,,,
JH-073,Β- 倍半水芹烯,3-[(2s)-6-methylhept-5-en-2-yl]-6-methylidenecyclohex-1-ene,20307-83-9,204.3516,C15H24,,萜类,C/C1=C\CCC@H[C@H]2CCC(=C)C=C2/C=C/1,"InChI=1S/C15H24/c1-12(2)6-5-7-14(4)15-10-8-13(3)9-11-15/h6,8,10,14-15H,3,5,7,9,11H2,1-2,4H3/t14-,15+/m0/s1",PHWISBHSBNDZDX-LSDHHAIUSA-N
JH-074,,Monoterpenes,,136.2344,C10H16,,萜类,,,
JH-075,α-松油烯,Α terpinene,99-86-5,136.2344,C10H16,,萜类,CC(C)C1=CC=C(C)CC1,"InChI=1S/C10H16/c1-8(2)10-6-4-9(3)5-7-10/h6,10H,4-5,7H2,1-3H3",YHQGMYUVUMAZJR-UHFFFAOYSA-N
JH-076,,(-)-α-curcumene,3649-81-8,202.3357,C15H22,,萜类,C/C1=C\CCC@HC(=O)CC(C(C)C)=C1,"InChI=1S/C15H24O/c1-11(2)14-9-10-15(3,4)8-6-12(5)7-13(14)16/h7,11,13-14H,5-6,8-10H2,1-4H3/b12-6+",KDPFMRXIVDLQKX-MVZXXKMLSA-N
JH-077,二十三烷酸,Tricosanoic acid,2433-96-7,354.611,C23H46O2,,脂肪酸,CC1=CCC(CC(C)(C)O)CC1,"InChI=1S/C10H18O/c1-8-4-6-9(7-5-8)10(2,3)11/h8,11H,4-7H2,1-3H3",IAIJHBIJGXKJEK-UHFFFAOYSA-N
JH-078,,"(1z,6z,8s)-8-isopropyl-1-methyl-5-methylidenecyclodeca-1,6-diene",,204.3516,C15H24,,萜类,,,
JH-079,,"(1e,7s)-7-hydroxy-1,7-bis(4-hydroxy-3-methoxyphenyl)hept-1-ene-3,5-dione",,386.396,C21H22O7,,其他,,,
JH-080,,"2-methyl-6-(4-methylcyclohexa-2,4-dien-1-yl)hept-2-en-4-one",83448-58-2,218.3351,C15H22O,,萜类,CC(C)CC(=O)CC(C)c1ccc(C)cc1,"1S/C15H24O/c1-11(2)9-14(16)10-12(3)13-5-7-15(4)8-6-13/h5-8,11-12H,9-10H2,1-4H3",
JH-081,,"(3r,5s,8e)-5,9,14-trimethyl-4,12-dioxatricyclo[9.3.0.0³,⁵]tetradeca-1(11),8,13-trien-2-one",,246.3022,C15H18O3,,萜类,smiles,inchi,inchikey
JH-082,,"2-methyl-6-(4-methylcyclohexa-1,4-dien-1-yl)hept-2-en-4-one",83448-58-2,218.3351,C15H22O,,萜类,C/C1=C\CCC@H[C@H]2CCC(=C)C=C2/C=C/1,"InChI=1S/C15H24/c1-12(2)6-5-7-14(4)15-10-8-13(3)9-11-15/h6,8,10,14-15H,3,5,7,9,11H2,1-2,4H3/t14-,15+/m0/s1",PHWISBHSBNDZDX-LSDHHAIUSA-N
JH-083,,(6s)-2-methyl-6-[(1r)-4-methylidenecyclohex-2-en-1-yl]hept-2-en-4-one,82508-14-3,218.3351,C15H22O,,萜类,C/C1=C\CCC@H[C@H]2CCC(=C)C=C2/C=C/1,"InChI=1S/C15H24/c1-12(2)6-5-7-14(4)15-10-8-13(3)9-11-15/h6,8,10,14-15H,3,5,7,9,11H2,1-2,4H3/t14-,15+/m0/s1",PHWISBHSBNDZDX-LSDHHAIUSA-N
JH-084,,"(1s,3as,8ar)-1,8a-dihydroxy-1,4-dimethyl-7-(propan-2-ylidene)-2,3,3a,8-tetrahydroazulen-6-one",,250.3339,C15H22O3,,萜类,,,
